crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	159.637466	432	0.000000
281474976710655.000000	154.723328	433	0.000000
281474976710655.000000	146.980118	434	0.000000
281474976710655.000000	127.572487	435	0.000000
281474976710655.000000	120.641228	436	0.000000
281474976710655.000000	107.448586	437	0.000000
281474976710655.000000	Inf	438	0.000000
281474976710655.000000	78.401031	439	0.000000
281474976710655.000000	74.649582	440	0.000000
281474976710655.000000	71.766716	441	0.000000
281474976710655.000000	67.323395	442	0.000000
281474976710655.000000	102.762733	443	0.000000
281474976710655.000000	75.532043	444	0.000000
281474976710655.000000	41.484982	445	0.000000
281474976710655.000000	39.129131	446	0.000000
281474976710655.000000	38.906891	447	0.000000
281474976710655.000000	38.129353	448	0.000000
281474976710655.000000	32.170525	449	0.000000
281474976710655.000000	31.183229	450	0.000000
281474976710655.000000	25.439901	451	0.000000
281474976710655.000000	22.811689	452	0.000000
281474976710655.000000	20.144161	453	0.000000
281474976710655.000000	16.428555	454	0.000000
281474976710655.000000	14.245299	455	0.000000
281474976710655.000000	13.056439	456	0.000000
281474976710655.000000	10.782478	457	0.000000
281474976710655.000000	11.055511	458	0.000000
281474976710655.000000	9.224220	459	0.000000
281474976710655.000000	9.082232	460	0.000000
281474976710655.000000	7.723660	461	0.000000
281474976710655.000000	6.694308	462	0.000000
281474976710655.000000	6.178139	463	0.000000
281474976710655.000000	5.013964	464	0.000000
281474976710655.000000	4.596104	465	0.000000
281474976710655.000000	3.856530	466	0.000000
281474976710655.000000	3.675226	467	0.000000
281474976710655.000000	3.098953	468	0.000000
281474976710655.000000	2.808914	469	0.000000
281474976710655.000000	2.540826	470	0.000000
281474976710655.000000	2.182534	471	0.000000
