num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1367	1696.629883	86.271856	2.837790	4.389603	165.554681
1369	1698.706298	83.282361	2.888664	4.388683	146.388621
1371	1700.781940	81.543997	2.883220	4.388730	139.732926
1373	1702.858709	79.275412	2.917359	4.388002	140.973603
1375	1704.934596	77.125981	2.923633	4.387851	125.261641
1377	1707.010469	74.944305	2.918860	4.388130	121.021541
1379	1709.085769	72.888179	2.885953	4.390239	111.581123
1381	1711.160010	70.820460	2.867144	4.391840	108.461312
1383	1713.234158	68.618748	2.879738	4.392720	106.954034
1385	1715.309167	66.575242	2.859016	4.394640	96.895129
1387	1717.383039	64.574434	2.815228	4.395335	88.278617
1389	1719.456993	62.472774	2.814282	4.396337	85.619637
1391	1721.530710	60.682124	2.817445	4.397503	81.145455
1393	1723.602157	58.728331	2.779522	4.398432	76.783544
1395	1725.674760	56.754439	2.743512	4.398637	69.978856
1397	1727.746551	55.019680	2.741190	4.397414	66.469406
1399	1729.818033	53.047045	2.706447	4.396656	61.213610
1401	1731.891493	51.317758	2.718591	4.397318	56.393190
1403	1733.965635	49.460808	2.685257	4.398339	55.664607
1405	1736.041475	47.754355	2.667586	4.400475	48.375573
1407	1738.117178	46.258735	2.648649	4.402459	51.123678
1409	1740.194263	44.756626	2.587551	4.404447	44.518253
1411	1742.271540	43.227000	2.578167	4.405626	40.480383
1413	1744.346254	41.935195	2.519395	4.406160	38.706803
1415	1746.420161	40.405333	2.493581	4.406000	37.016170
1417	1748.495218	39.052197	2.441919	4.406379	31.705663
1419	1750.571157	37.652994	2.389774	4.407234	29.648888
1421	1752.644591	36.412165	2.320298	4.406322	30.563006
1423	1754.716721	35.079096	2.290040	4.407290	25.446941
1425	1756.791670	33.901086	2.210407	4.406775	24.371060
1427	1758.864514	32.644699	2.181673	4.405475	23.282068
1429	1760.939426	31.528384	2.104566	4.404977	23.275302
1431	1763.012808	30.363212	2.061954	4.405100	21.977334
1433	1765.084431	29.281386	1.984672	4.402961	19.524408
1435	1767.157610	28.235724	1.941285	4.403341	18.250647
1437	1769.226103	27.182562	1.879934	4.403653	17.342551
1439	1771.297784	26.188382	1.843121	4.407375	14.797779
