num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
37	79.503634	102.766666	4.323393	1.389693	133.049679
39	81.579364	87.124238	3.472319	1.404837	113.328313
41	83.657224	71.963507	3.216428	1.403504	81.357719
43	85.741885	58.120112	2.881812	1.395606	49.000472
45	87.829806	45.485550	2.598792	1.380998	33.612516
47	89.923512	35.122129	2.126605	1.374968	22.503535
49	92.017713	26.450241	1.618459	1.367166	13.954222
51	94.110362	19.602165	1.289578	1.372145	8.219762
53	96.192877	14.674004	1.043415	1.380450	5.282337
55	98.268306	10.936791	0.845098	1.380615	3.114592
