crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	612	0.000000
281474976710655.000000	-150.232193	613	0.000000
281474976710655.000000	-71.491295	614	0.000000
281474976710655.000000	-67.742790	615	0.000000
281474976710655.000000	-42.521809	616	0.000000
281474976710655.000000	-62.390659	617	0.000000
281474976710655.000000	-55.064526	618	0.000000
281474976710655.000000	-84.641800	619	0.000000
281474976710655.000000	-68.436577	620	0.000000
281474976710655.000000	-48.205349	621	0.000000
281474976710655.000000	-43.414612	622	0.000000
281474976710655.000000	-43.384827	623	0.000000
281474976710655.000000	-36.640102	624	0.000000
281474976710655.000000	-32.748726	625	0.000000
281474976710655.000000	-31.868731	626	0.000000
281474976710655.000000	-27.274511	627	0.000000
281474976710655.000000	-27.253309	628	0.000000
281474976710655.000000	-23.448709	629	0.000000
281474976710655.000000	-21.830181	630	0.000000
281474976710655.000000	-19.988302	631	0.000000
281474976710655.000000	-18.971783	632	0.000000
281474976710655.000000	-17.190020	633	0.000000
281474976710655.000000	-15.830104	634	0.000000
281474976710655.000000	-14.549846	635	0.000000
281474976710655.000000	-13.352139	636	0.000000
281474976710655.000000	-12.159340	637	0.000000
281474976710655.000000	-11.193817	638	0.000000
281474976710655.000000	-9.895708	639	0.000000
281474976710655.000000	-9.436573	640	0.000000
281474976710655.000000	-8.270471	641	0.000000
281474976710655.000000	-7.712298	642	0.000000
281474976710655.000000	-6.918679	643	0.000000
281474976710655.000000	-6.492910	644	0.000000
281474976710655.000000	-5.580313	645	0.000000
281474976710655.000000	-5.249775	646	0.000000
281474976710655.000000	-4.468264	647	0.000000
281474976710655.000000	-4.234778	648	0.000000
281474976710655.000000	-3.458098	649	0.000000
281474976710655.000000	-3.369641	650	0.000000
